year,birth,death,nature_growth
1949,36,20,16
1950,37,18,19
1951,37.8,17.8,20
1952,37,17,20
1953,37,14,23
1954,37.97,13.18,24.79
1955,32.6,12.28,20.32
1956,31.9,11.4,20.5
1957,34.03,10.8,23.23
1958,29.22,11.98,17.24
1959,24.78,14.59,10.19
1960,20.86,25.43,-4.57
1961,18.13,14.33,3.8
1962,37.22,10.08,27.14
1963,43.6,10.1,33.5
1964,39.34,11.56,27.78
1965,38,9.5,28.5
1966,35.21,8.87,26.34
1967,34.12,8.47,25.65
1968,35.75,8.25,27.5
1969,34.25,8.06,26.19
1970,33.59,7.64,25.95
1971,30.74,7.34,23.4
1972,29.92,7.65,22.27
1973,28.07,7.08,20.99
1974,24.95,7.38,17.57
1975,23.13,7.36,15.77
1976,20.01,7.29,12.72
1977,19.03,6.91,12.12
1978,18.25,6.25,12
1979,17.82,6.21,11.61
1980,18.21,6.34,11.87
1981,20.91,6.36,14.55
1982,22.28,6.6,15.68
1983,20.19,6.9,13.29
1984,19.9,6.82,13.08
1985,21.04,6.78,14.26
1986,22.43,6.86,15.57
1987,23.33,6.72,16.61
1988,22.37,6.64,15.73
1989,21.58,6.54,15.04
1990,21.06,6.67,14.39
1991,19.68,6.7,12.98
1992,18.24,6.64,11.6
1993,18.09,6.64,11.45
1994,17.7,6.49,11.21
1995,17.12,6.57,10.55
1996,16.98,6.56,10.42
1997,16.57,6.51,10.06
1998,15.64,6.5,9.14
1999,14.64,6.46,8.18
2000,14.03,6.45,7.58
2001,13.38,6.43,6.95
2002,12.86,6.41,6.45
2003,12.41,6.4,6.01
2004,12.29,6.42,5.87
2005,12.4,6.51,5.89
2006,12.09,6.81,5.28
2007,12.1,6.93,5.17
2008,12.14,7.06,5.08
2009,11.95,7.08,4.87
2010,11.9,7.11,4.79
2011,11.93,7.14,4.79
2012,12.1,7.15,4.95
2013,12.08,7.16,4.92
2014,12.37,7.16,5.21
2015,12.07,7.11,4.96
2016,12.95,7.09,5.86
2017,12.43,7.11,5.32
2018,10.94,7.13,3.81
2019,10.48,7.14,3.34
