total_and_gender_rate
year,total,male,female
1949,54167,28145,26022
1950,55196,28669,26527
1951,56300,29231,27069
1952,57482,29833,27649
1953,58796,30468,28328
1954,60266.4,31242,29024
1955,61465,31809,29656
1956,62828.3,32536,30292
1957,64653.3,33469,31184
1958,65994.3,34195,31799
1959,67206.9,34890,32317
1960,66207,34283,31924
1961,65859.1,33880,31979
1962,67295.5,34517,32778
1963,69172,35533,33639
1964,70499.1,36142,34357
1965,72538,37128,35410
1966,74542,38189,36353
1967,76368.2,39115,37253
1968,78534.2,40226,38308
1969,80671.2,41289,39382
1970,82992,42686,40306
1971,85229,43819,41410
1972,87177,44813,42364
1973,89211,45876,43335
1974,90859,46727,44132
1975,92420,47564,44856
1976,93717,48257,45460
1977,94974,48908,46066
1978,96259,49567,46692
1979,97542,50192,47350
1980,98705,50785,47920
1981,100072,51519,48553
1982,101654,52352,49302
1983,103008,53152,49856
1984,104357,53848,50509
1985,105851,54725,51126
1986,107507,55581,51926
1987,109300,56290,53010
1988,111026,57201,53825
1989,112704,58099,54605
1990,114333,58904,55429
1991,115823,59466,56357
1992,117171,59811,57360
1993,118517,60472,58045
1994,119850,61246,58604
1995,121121,61808,59313
1996,122389,62200,60189
1997,123626,63131,60495
1998,124761,63940,60821
1999,125786,64692,61094
2000,126743,65437,61306
2001,127627,65672,61955
2002,128453,66115,62338
2003,129227,66556,62671
2004,129988,66976,63012
2005,130756,67375,63381
2006,131448,67728,63720
2007,132129,68048,64081
2008,132802,68357,64445
2009,133450,68646.68,64803.32
2010,134091,68748.4557,65342.5443
2011,134735,69068,65667
2012,135404,69395,66009
2013,136072,69728,66344
2014,136782,70079,66703
2015,137462,70414,67048
2016,138271,70815,67456
2017,139008,71137,67871
2018,139538,71351,68187
2019,140005,71527,68478
